country,mean_lifeExp
Algeria,59.030166666666666
Angola,37.8835
Benin,48.779916666666665
Botswana,54.597500000000004
Burkina Faso,44.694
Burundi,44.81733333333333
Cameroon,48.1285
Central African Republic,43.86691666666667
Chad,46.773583333333335
Comoros,52.38175
"Congo, Dem. Rep.",44.54375
"Congo, Rep.",52.501916666666666
Cote d'Ivoire,48.436166666666665
Djibouti,46.38075
Egypt,56.243
Equatorial Guinea,42.96
Eritrea,45.99925
Ethiopia,44.47575
Gabon,51.2205
Gambia,44.40058333333333
Ghana,52.340666666666664
Guinea,43.23983333333334
Guinea-Bissau,39.21025
Kenya,52.681
Lesotho,50.007083333333334
Liberia,42.47625
Libya,59.30416666666667
Madagascar,47.770583333333335
Malawi,43.35158333333333
Mali,43.4135
Mauritania,52.302083333333336
Mauritius,64.95325
Morocco,57.60883333333333
Mozambique,40.3795
Namibia,53.49133333333333
Niger,44.55866666666667
Nigeria,43.58133333333333
Reunion,66.64425
Rwanda,41.48158333333333
Sao Tome and Principe,57.89633333333333
Senegal,50.62591666666667
Sierra Leone,36.76916666666666
Somalia,40.98866666666667
South Africa,53.99316666666667
Sudan,48.4005
Swaziland,49.00241666666667
Tanzania,47.912333333333336
Togo,51.49875
Tunisia,60.721000000000004
Uganda,47.618833333333335
Zambia,45.99633333333333
Zimbabwe,52.66316666666667
